Level,Spell Name,Spell Description,Skill,Mana,Tag,Class
1,Blast of Air,"Blast your target with air, dealing 2 (L1) to 5 (L4) Magic Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,5,Direct Damage | Magic,Elementalist
1,Blast of Earth,"Blast your target with earth, dealing 2 (L1) to 5 (L4) Magic Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,5,Direct Damage | Magic,Elementalist
1,Blast of Fire,"Blast your target with fire, dealing 2 (L1) to 5 (L4) Fire Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,5,Direct Damage | Fire,Elementalist
1,Blast of Water,"Blast your target with water, dealing 2 (L1) to 5 (L4) Cold Damage. This spell reacts to elemental effects inflicted on the target by your pet.",Evo,5,Direct Damage | Cold,Elementalist
1,Cold Protection,"Wards your target from frost, increasing their Cold Resistance by 5.",Abj,10,Resist | Cold,Elementalist
1,Fear the Elements,"Fears an enemy elemental, causing them to run away in terror. Doing Damage has a small chance to break this effect early.",Alt,20,Fear | (elementals only),Elementalist
1,Fire Protection,"Wards your target from heat, increasing their Fire Resistance by 5.",Abj,10,Resist | Fire,Elementalist
1,Flameburst,Bursts your target with flame for 4(L1) to 7(L4) points of Fire Damage,Evo,8,Direct Damage | Fire,Elementalist
1,Invisibility,Shrouds your target with invisibility.,Div,20,Invisibility,Elementalist
1,Invisibility versus Elements,Shrouds your target with invisibility versus elements.,Div,20,Invisibility | (elementals only),Elementalist
1,Minor Spellshield,"A magical shield encircles you, increasing your HP by 10, AC by 5, and Magic Resistance by 5.",Abj,10,+HP | +AC | Resist | Magic | (self only),Elementalist
1,Minor Creation: Air,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Taunt) Requires: Malachite",Con,10,Pet | Melee Haste | AURA,Elementalist
1,Minor Creation: Earth,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants Stamina 2(L1) to 30(L60). (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,10,Pet | +STA | Root | AURA,Elementalist
1,Minor Creation: Fire,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield 1(L1) to 15(L60) Per Hit. (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,10,Pet | Spell Haste | Damage Shield | AURA,Elementalist
1,Minor Creation: Water,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,10,Pet | Mana Regen | AURA,Elementalist
1,Summon Minor Earth Mallet,"Summon an earth mallet, suitable for combat in a pinch.",Con,10,Conjure Weapon,Elementalist
1,Summon Minor Fire Staff,"Summon a fire staff, suitable for combat in a pinch.",Con,10,Conjure Weapon,Elementalist
1,Polar Align: North,Magically faces caster North.,Div,5,Misc. | (self only),Elementalist
1,Summon Minor Water Trident,"Summon a Water Trident, suitable for combat in a pinch.",Con,10,Conjure Weapon,Elementalist
1,Summon Minor Wind Blade,"Summon a wind blade, suitable for combat in a pinch.",Con,10,Conjure Weapon,Elementalist
1,Reclaim Essence,"Consume the essence of your pet, restoring 25% of your Pet's Health in mana.",Con,5,Transfer Mana | (self only),Elementalist
1,Summon Drink,Summon Water,Con,10,Conjure Food & Water,Elementalist
1,Summon Food,Summon Food,Con,10,Conjure Food & Water,Elementalist
4,Dispel Magic,Removes a harmful magical effect from your current target.,Alt,50,Cure | Magic,Elementalist
4,Element Break,"Breaks your target's resistance to the elements, decreasing their Cold, Electricity, Fire and Magic Resistance by 1 (L1) to 2 (L8). This spell is unresistable if the target is not immune to magic or it can otherwise be landed normally.",Alt,10,Lower Resistance | Cold | Electricity | Fire | Magic,Elementalist
4,Fireburst,Bursts your target with fire for 12 (L4) to 15 (L7) points of Fire Damage.,Evo,15,Direct Damage | Fire,Elementalist
4,Gate,Teleport yourself to your bind location.,Alt,55,Gate | (self only),Elementalist
4,Lesser Creation: Air,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,30,Pet | Melee Haste | AURA,Elementalist
4,Lesser Creation: Earth,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,30,Pet | +STA | Root | AURA,Elementalist
4,Lesser Creation: Fire,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 15(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,30,Pet | Spell Haste | Damage Shield | AURA,Elementalist
4,Lesser Creation: Water,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,30,Pet | Mana Regen | AURA,Elementalist
4,Lull the Elements,"Placates an aggressive Elemental target, greatly reducing the range of their social and proximity aggro for 2 minutes. Has no effect on an already aggroed target. This ability has a slight chance to fail and cause primary and social aggro. It also has a slight chance of ending early.",Alt,10,Pacify | (elementals only),Elementalist
4,See Invisibility,"Glaze the eyes of your target with a magical coating, granting them the ability to see invisible entities.",Div,20,Misc.,Elementalist
4,Sense Magic,Grants your target the ability to see buff effect when you consider them.,Div,20,Misc.,Elementalist
4,Soulbind,Binds your target's soul to their current location. (Not guaranteed to work everywhere),Alt,75,Bind,Elementalist
4,Summon Cloth Bandage,"Summon 1 (L10) to 4 (L20) cloth bandages, suitable for healing wounds.",Con,10,Conjure Bandage,Elementalist
4,Ward the Elements,Wards an elemental target with elemental energy for 30 points of Magic Damage.,Evo,25,Direct Damage | Magic | (elementals only),Elementalist
8,Creation: Air,"Conjures an Air Elemental composed of pure elemental energy. (Aura) Rush of Air: 10% chance of add. Prime or Offhand Melee swing (Staggering Winds, Strike, Provoke) Requires: Malachite",Con,60,Pet | Melee Haste | AURA,Elementalist
8,Creation: Earth,"Conjures an earthy being composed of pure elemental energy. (Aura) Earthen Toughness: grants 2(L1) to 30(L60) Stamina. (Earthen Skin, Elemental Root, Provoke) Requires: Malachite",Con,60,Pet | +STA | Root | AURA,Elementalist
8,Creation: Fire,"Conjures an Fire Elemental composed of pure elemental energy. (Aura) +10% Spell Casting speed, Backlash of Fire: grants Damage Shield Damage Shield 1(L1) to 15(L60). (Elemental Backlash, Elemental Fire, Provoke) Requires: Malachite",Con,60,Pet | Spell Haste | Damage Shield | AURA,Elementalist
8,Creation: Water,Conjures a watery being composed of pure elemental energy. (Aura) Fount of Mana: Mana Regeneration 1(L1) to 6(L60). Requires: Malachite,Con,60,Pet | Mana Regen | AURA,Elementalist
8,Elemental Fury,"Immerses your pet with Elemental Fury, increasing their Melee Attack Speed and Casting Speed by 10% and Strength by 2 for 30 minutes.",Alt,30,+STR | Melee Haste | (pet only),Elementalist
8,Flame Shield,"Surrounds your target with a flame shield, providing a Damage Shield with 5 Damage Per Hit.",Abj,25,Damage Shield,Elementalist
8,Heal the Elements,"Moderately heals the wounds of a friendly elemental ally, healing them for 40 Health.",Alt,25,Direct Heal | (elementals only),Elementalist
8,Lesser Spellshield,"A magical shield encircles you, increasing your HP by 25, AC by 10, and Magic Resistance by 10.",Abj,25,+HP | +AC | Resist | Magic | (self only),Elementalist
8,Magmaburst,Bursts your target with magma for 40 points of Fire Damage.,Evo,30,Direct Damage | Fire,Elementalist
8,Summon Arrows,"Summon a bundle of arrows, suitable for use with a bow.",Con,,Conjure Arrows,Elementalist
8,Summon Minor Manastone,"Summon a Minor Manastone, granting 30 Mana at the cost of 45 Health. This item can be traded to other players, and will be lost when logging out after a short period of time.",Con,40,Summon Manastone,Elementalist
8,Summon Throwing Daggers,"Summon a bundle of daggers, suitable for throwing.",Con,,Conjure Weapon,Elementalist
